"Stream","Phase","Quarter","Lot","Statut","ResteKEuro","ResteJH","DateCible"
"S1","Socle KOS","Q4-2026","Supabase Auth Prod","Todo","8","4","2026-12-15"
"S1","Socle KOS","Q4-2026","Stripe Billing","Doing","6","3","2026-12-31"
"S1","Socle KOS","Q4-2026","RBAC + Admin Portal","Todo","10","5","2027-01-15"
"S2","Moteurs","Q1-2027","Regulatory Engine MVP","Todo","15","8","2027-03-01"
"S2","Moteurs","Q1-2027","Diagnostic Engine MVP","Todo","12","6","2027-03-15"
"S2","Moteurs","Q1-2027","Compliance Engine MVP","Todo","14","7","2027-03-30"
"S2","Moteurs","Q2-2027","Risk Engine MVP","Todo","16","8","2027-06-15"
"S3","Freemium","Q1-2027","Diag Gov Express","Todo","5","2","2027-02-28"
"S3","Freemium","Q1-2027","Diag ESG Express","Todo","5","2","2027-02-28"
"S3","Freemium","Q1-2027","Diag LBC/FT Express","Todo","5","2","2027-02-28"
"S4","Premium","Q2-2027","Gov 360 + Plan Action","Todo","18","9","2027-05-30"
"S4","Premium","Q2-2027","Risk Heatmap Auto","Todo","12","6","2027-06-15"
"S4","Premium","Q2-2027","IA Copilot v1","Todo","20","10","2027-06-30"
"S5","Découplage","Q4-2026","SSO Readdy vers KOS","Doing","4","2","2026-11-30"
"S5","Découplage","Q4-2026","Webhooks Forms Readdy","Todo","6","3","2026-12-20"
